00:00:04.199 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:04.205 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:09.200 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:09.200 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:14.202 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:14.202 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:19.207 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:19.207 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:24.209 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:24.209 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:29.223 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:29.223 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:34.227 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:34.227 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:39.229 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:39.229 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:44.231 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:44.231 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:49.239 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:49.239 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:54.246 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:54.246 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:00:59.257 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:00:59.257 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:04.258 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:04.258 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:09.268 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:09.269 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:14.269 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:14.269 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:19.272 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:19.272 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:24.273 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:24.273 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:29.287 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:29.287 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:34.298 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:34.298 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:39.300 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:39.300 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:44.314 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:44.314 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:49.324 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:49.325 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:54.324 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:54.324 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:01:59.334 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:01:59.335 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:04.334 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:04.334 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:09.347 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:09.347 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:14.356 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:14.356 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:19.360 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:19.360 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:24.363 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:24.363 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:29.372 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:29.372 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:34.386 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:34.386 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:39.387 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:39.387 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:44.391 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:44.391 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:49.406 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:49.406 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:54.417 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:54.417 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:02:59.421 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:02:59.421 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:04.429 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:04.429 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:09.435 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:09.435 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:14.449 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:14.449 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:19.451 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:19.451 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:21.741 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
00:03:24.464 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:24.464 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:29.472 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:29.472 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:34.479 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:34.479 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:39.494 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:39.494 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:44.503 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:44.503 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:49.515 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:49.515 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:54.516 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:54.516 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:03:59.527 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:03:59.527 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:04.533 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:04.533 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:09.534 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:09.534 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:14.543 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:14.543 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:19.551 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:19.551 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:24.559 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:24.559 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:29.560 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:29.560 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:34.571 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:34.571 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:39.582 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:39.582 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:44.593 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:44.593 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:49.606 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
00:04:49.606 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - Already latest height: 0, networkBlockHeight: -2,nothing to do!
00:04:54.613 [Thread-14] INFO  com.bizzan.bc.wallet.component.Watcher - check...
